"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20190901","일","여","20대","서울특별시","광진구","구의동","5"
"20190901","일","남","40대","서울특별시","광진구","중곡동","5"
"20190901","일","남","20대","서울특별시","광진구","중곡동","5"
"20190901","일","남","20대","서울특별시","광진구","능동","5"
"20190901","일","여","10대","서울특별시","광진구","능동","5"
"20190901","일","여","40대","서울특별시","광진구","구의동","5"
"20190901","일","여","50대","서울특별시","구로구","신도림동","6"
"20190901","일","남","20대","서울특별시","구로구","신도림동","10"
"20190901","일","남","20대","서울특별시","구로구","개봉동","9"
"20190901","일","여","20대","서울특별시","구로구","개봉동","6"
"20190901","일","여","20대","서울특별시","구로구","신도림동","10"
"20190901","일","남","40대","서울특별시","구로구","개봉동","17"
"20190901","일","남","40대","서울특별시","구로구","신도림동","16"
"20190901","일","남","30대","서울특별시","구로구","개봉동","15"
"20190901","일","남","10대","서울특별시","구로구","신도림동","5"
"20190901","일","여","40대","서울특별시","구로구","신도림동","28"
"20190901","일","여","40대","서울특별시","구로구","개봉동","30"
"20190901","일","여","60대이상","서울특별시","구로구","신도림동","5"
"20190901","일","여","60대이상","서울특별시","구로구","개봉동","5"
"20190901","일","남","10대","서울특별시","구로구","개봉동","5"
"20190901","일","남","50대","서울특별시","구로구","개봉동","8"
"20190901","일","남","50대","서울특별시","구로구","궁동","5"
"20190901","일","남","50대","서울특별시","구로구","신도림동","8"
"20190901","일","여","30대","서울특별시","구로구","개봉동","7"
"20190901","일","여","50대","서울특별시","구로구","개봉동","13"
"20190901","일","여","30대","서울특별시","구로구","신도림동","10"
"20190901","일","남","60대이상","서울특별시","구로구","개봉동","5"
"20190901","일","남","60대이상","서울특별시","구로구","신도림동","5"
"20190901","일","남","30대","서울특별시","구로구","신도림동","12"
"20190901","일","여","10대","서울특별시","구로구","개봉동","5"
"20190901","일","남","40대","서울특별시","금천구","시흥동","5"
"20190901","일","여","40대","서울특별시","금천구","가산동","11"
"20190901","일","남","10대","서울특별시","금천구","가산동","5"
"20190901","일","여","10대","서울특별시","금천구","시흥동","5"
"20190901","일","남","20대","서울특별시","금천구","가산동","7"
"20190901","일","남","20대","서울특별시","금천구","시흥동","5"
"20190901","일","여","20대","서울특별시","금천구","가산동","5"
"20190901","일","남","30대","서울특별시","금천구","가산동","6"
"20190901","일","여","10대","서울특별시","금천구","가산동","5"
"20190901","일","여","20대","서울특별시","금천구","독산동","5"
"20190901","일","남","20대","서울특별시","금천구","독산동","5"
"20190901","일","남","10대","서울특별시","금천구","시흥동","5"
"20190901","일","남","40대","서울특별시","금천구","가산동","8"
"20190901","일","여","50대","서울특별시","금천구","가산동","5"
"20190901","일","남","50대","서울특별시","금천구","가산동","6"
"20190901","일","여","30대","서울특별시","금천구","가산동","6"
"20190901","일","여","10대","서울특별시","금천구","독산동","5"
"20190901","일","여","40대","서울특별시","금천구","시흥동","5"
"20190901","일","여","20대","서울특별시","금천구","시흥동","5"
"20190901","일","여","60대이상","서울특별시","금천구","가산동","5"
"20190901","일","여","50대","서울특별시","노원구","공릉동","14"
"20190901","일","여","20대","서울특별시","노원구","공릉동","10"
"20190901","일","남","40대","서울특별시","노원구","상계동","23"
"20190901","일","여","50대","서울특별시","노원구","상계동","26"
"20190901","일","남","40대","서울특별시","노원구","공릉동","12"
"20190901","일","여","10대","서울특별시","노원구","상계동","5"
"20190901","일","남","10대","서울특별시","노원구","상계동","5"
"20190901","일","남","60대이상","서울특별시","노원구","공릉동","5"
"20190901","일","남","30대","서울특별시","노원구","상계동","18"
"20190901","일","남","20대","서울특별시","노원구","상계동","11"
"20190901","일","남","20대","서울특별시","노원구","공릉동","17"
"20190901","일","여","30대","서울특별시","노원구","공릉동","11"
"20190901","일","여","30대","서울특별시","노원구","상계동","13"
"20190901","일","남","30대","서울특별시","노원구","공릉동","12"
"20190901","일","남","60대이상","서울특별시","노원구","상계동","5"
"20190901","일","남","10대","서울특별시","노원구","공릉동","5"
"20190901","일","여","20대","서울특별시","노원구","상계동","11"
"20190901","일","남","50대","서울특별시","노원구","공릉동","11"
"20190901","일","남","50대","서울특별시","노원구","상계동","7"
"20190901","일","남","50대","서울특별시","노원구","중계동","5"
"20190901","일","여","60대이상","서울특별시","노원구","공릉동","5"
"20190901","일","여","40대","서울특별시","노원구","하계동","5"
"20190901","일","여","60대이상","서울특별시","노원구","상계동","5"
"20190901","일","여","40대","서울특별시","노원구","상계동","36"
"20190901","일","여","40대","서울특별시","노원구","공릉동","27"
"20190901","일","남","30대","서울특별시","도봉구","방학동","5"
"20190901","일","남","20대","서울특별시","도봉구","쌍문동","5"
"20190901","일","남","40대","서울특별시","도봉구","쌍문동","5"
"20190901","일","여","30대","서울특별시","도봉구","쌍문동","5"
"20190901","일","여","40대","서울특별시","도봉구","쌍문동","5"
"20190901","일","여","50대","서울특별시","도봉구","쌍문동","5"
"20190901","일","여","20대","서울특별시","도봉구","쌍문동","5"
"20190901","일","여","40대","서울특별시","동대문구","장안동","23"
"20190901","일","여","30대","서울특별시","동대문구","장안동","16"
"20190901","일","남","60대이상","서울특별시","동대문구","장안동","5"
"20190901","일","남","60대이상","서울특별시","동대문구","전농동","5"
"20190901","일","여","30대","서울특별시","동대문구","제기동","10"
"20190901","일","여","60대이상","서울특별시","동대문구","제기동","5"
"20190901","일","남","20대","서울특별시","동대문구","제기동","19"
"20190901","일","남","20대","서울특별시","동대문구","전농동","5"
"20190901","일","남","60대이상","서울특별시","동대문구","제기동","5"
"20190901","일","여","20대","서울특별시","동대문구","장안동","6"
"20190901","일","여","20대","서울특별시","동대문구","제기동","6"
"20190901","일","남","50대","서울특별시","동대문구","장안동","8"
"20190901","일","남","50대","서울특별시","동대문구","제기동","6"
"20190901","일","여","60대이상","서울특별시","동대문구","장안동","5"
"20190901","일","여","50대","서울특별시","동대문구","제기동","5"
"20190901","일","여","50대","서울특별시","동대문구","장안동","9"
"20190901","일","여","50대","서울특별시","동대문구","답십리동","5"
"20190901","일","여","10대","서울특별시","동대문구","장안동","5"
"20190901","일","남","30대","서울특별시","동대문구","답십리동","5"
"20190901","일","남","10대","서울특별시","동대문구","장안동","5"
"20190901","일","남","10대","서울특별시","동대문구","제기동","5"
"20190901","일","남","20대","서울특별시","동대문구","장안동","15"
"20190901","일","여","10대","서울특별시","동대문구","제기동","5"
"20190901","일","남","40대","서울특별시","동대문구","장안동","13"
"20190901","일","남","40대","서울특별시","동대문구","제기동","13"
"20190901","일","남","30대","서울특별시","동대문구","제기동","12"
"20190901","일","남","30대","서울특별시","동대문구","장안동","8"
"20190901","일","여","40대","서울특별시","동대문구","제기동","20"
"20190901","일","남","30대","서울특별시","동작구","사당동","5"
"20190901","일","여","50대","서울특별시","동작구","노량진동","5"
"20190901","일","남","30대","서울특별시","동작구","노량진동","5"
"20190901","일","남","30대","서울특별시","동작구","본동","5"
"20190901","일","여","20대","서울특별시","동작구","상도1동","5"
"20190901","일","남","50대","서울특별시","동작구","노량진동","5"
"20190901","일","남","20대","서울특별시","동작구","사당동","5"
"20190901","일","여","10대","서울특별시","동작구","사당동","5"
"20190901","일","여","20대","서울특별시","동작구","본동","5"
"20190901","일","여","50대","서울특별시","동작구","사당동","5"
"20190901","일","남","20대","서울특별시","동작구","본동","5"
"20190901","일","여","40대","서울특별시","동작구","상도1동","5"
"20190901","일","여","40대","서울특별시","마포구","합정동","7"
"20190901","일","여","40대","서울특별시","마포구","신수동","5"
"20190901","일","여","40대","서울특별시","마포구","상암동","26"
"20190901","일","여","40대","서울특별시","마포구","마포동","5"
"20190901","일","여","40대","서울특별시","마포구","공덕동","5"
"20190901","일","여","60대이상","서울특별시","마포구","상암동","6"
"20190901","일","남","20대","서울특별시","마포구","합정동","8"
"20190901","일","남","20대","서울특별시","마포구","상암동","10"
"20190901","일","남","40대","서울특별시","마포구","노고산동","5"
"20190901","일","남","40대","서울특별시","마포구","상암동","7"
"20190901","일","남","40대","서울특별시","마포구","합정동","5"
"20190901","일","남","20대","서울특별시","마포구","마포동","5"
"20190901","일","남","50대","서울특별시","마포구","상암동","8"
"20190901","일","남","50대","서울특별시","마포구","합정동","5"
"20190901","일","여","20대","서울특별시","마포구","공덕동","5"
"20190901","일","여","20대","서울특별시","마포구","동교동","5"
"20190901","일","여","20대","서울특별시","마포구","망원동","5"
"20190901","일","여","20대","서울특별시","마포구","상암동","9"
"20190901","일","여","20대","서울특별시","마포구","신수동","5"
"20190901","일","여","20대","서울특별시","마포구","아현동","5"
"20190901","일","여","20대","서울특별시","마포구","합정동","5"
"20190901","일","남","60대이상","서울특별시","마포구","공덕동","5"
"20190901","일","남","60대이상","서울특별시","마포구","상암동","5"
"20190901","일","남","60대이상","서울특별시","마포구","합정동","5"
"20190901","일","여","30대","서울특별시","마포구","상암동","7"
"20190901","일","여","50대","서울특별시","마포구","합정동","5"
"20190901","일","여","50대","서울특별시","마포구","상암동","6"
"20190901","일","여","30대","서울특별시","마포구","동교동","5"
"20190901","일","여","10대","서울특별시","마포구","동교동","5"
"20190901","일","여","10대","서울특별시","마포구","상암동","5"
"20190901","일","여","10대","서울특별시","마포구","합정동","5"
"20190901","일","남","10대","서울특별시","마포구","상암동","6"
"20190901","일","남","10대","서울특별시","마포구","신수동","5"
"20190901","일","여","30대","서울특별시","마포구","합정동","7"
"20190901","일","남","30대","서울특별시","마포구","동교동","5"
"20190901","일","남","30대","서울특별시","마포구","망원동","5"
"20190901","일","남","30대","서울특별시","마포구","상암동","13"
"20190901","일","남","30대","서울특별시","마포구","창전동","5"
"20190901","일","남","30대","서울특별시","마포구","합정동","5"
"20190901","일","여","20대","서울특별시","서대문구","대현동","6"
"20190901","일","남","40대","서울특별시","서대문구","홍제동","13"
"20190901","일","남","40대","서울특별시","서대문구","연희동","13"
"20190901","일","남","40대","서울특별시","서대문구","대현동","5"
"20190901","일","여","50대","서울특별시","서대문구","대현동","5"
"20190901","일","남","20대","서울특별시","서대문구","남가좌동","5"
"20190901","일","남","20대","서울특별시","서대문구","대현동","5"
"20190901","일","남","20대","서울특별시","서대문구","연희동","29"
