"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20190901","일","여","60대이상","서울특별시","강북구","미아동","치킨","28"
"20190901","일","남","20대","서울특별시","강북구","미아동","치킨","39"
"20190901","일","남","50대","서울특별시","강북구","번동","치킨","15"
"20190901","일","남","10대","서울특별시","강북구","번동","치킨","5"
"20190901","일","여","30대","서울특별시","강북구","미아동","치킨","31"
"20190901","일","여","30대","서울특별시","강북구","번동","치킨","17"
"20190901","일","여","30대","서울특별시","강북구","우이동","치킨","5"
"20190901","일","여","10대","서울특별시","강북구","미아동","치킨","9"
"20190901","일","남","30대","서울특별시","강북구","번동","치킨","17"
"20190901","일","남","20대","서울특별시","강북구","번동","치킨","8"
"20190901","일","남","10대","서울특별시","강서구","화곡동","치킨","11"
"20190901","일","여","10대","서울특별시","강서구","등촌동","치킨","5"
"20190901","일","여","10대","서울특별시","강서구","내발산동","치킨","9"
"20190901","일","여","10대","서울특별시","강서구","가양동","치킨","6"
"20190901","일","여","60대이상","서울특별시","강서구","화곡동","치킨","13"
"20190901","일","여","60대이상","서울특별시","강서구","방화동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강서구","등촌동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강서구","가양동","치킨","8"
"20190901","일","남","20대","서울특별시","강서구","가양동","치킨","20"
"20190901","일","남","20대","서울특별시","강서구","내발산동","치킨","28"
"20190901","일","남","20대","서울특별시","강서구","방화동","치킨","5"
"20190901","일","여","50대","서울특별시","강서구","화곡동","치킨","25"
"20190901","일","여","50대","서울특별시","강서구","방화동","치킨","5"
"20190901","일","남","30대","서울특별시","강서구","등촌동","치킨","15"
"20190901","일","남","30대","서울특별시","강서구","방화동","치킨","5"
"20190901","일","여","40대","서울특별시","강서구","마곡동","치킨","5"
"20190901","일","여","40대","서울특별시","강서구","등촌동","치킨","20"
"20190901","일","남","40대","서울특별시","강서구","가양동","치킨","29"
"20190901","일","남","40대","서울특별시","강서구","화곡동","치킨","38"
"20190901","일","남","60대이상","서울특별시","강서구","화곡동","치킨","10"
"20190901","일","여","30대","서울특별시","강서구","화곡동","치킨","20"
"20190901","일","여","30대","서울특별시","강서구","방화동","치킨","5"
"20190901","일","여","30대","서울특별시","강서구","내발산동","치킨","48"
"20190901","일","남","50대","서울특별시","강서구","가양동","치킨","7"
"20190901","일","여","20대","서울특별시","강서구","가양동","치킨","15"
"20190901","일","남","50대","서울특별시","강서구","화곡동","치킨","21"
"20190901","일","남","50대","서울특별시","강서구","등촌동","치킨","5"
"20190901","일","남","50대","서울특별시","강서구","내발산동","치킨","9"
"20190901","일","남","10대","서울특별시","강서구","등촌동","치킨","5"
"20190901","일","남","10대","서울특별시","강서구","가양동","치킨","5"
"20190901","일","남","10대","서울특별시","강서구","내발산동","치킨","8"
"20190901","일","여","60대이상","서울특별시","강서구","내발산동","치킨","11"
"20190901","일","여","50대","서울특별시","강서구","등촌동","치킨","5"
"20190901","일","여","50대","서울특별시","강서구","내발산동","치킨","20"
"20190901","일","여","50대","서울특별시","강서구","가양동","치킨","16"
"20190901","일","남","20대","서울특별시","강서구","등촌동","치킨","9"
