,일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도
196,197,호반로R,송천동1가308-1,127.11717379999999,35.853981299999994,송천동1가 298-3,127.11975590000002,35.85244779999999,송천동1가295-3,127.119681,35.8524242
197,198,호암로L,효자동2가683-11,127.0953893,35.8071292,효자동2가 679-3,127.09927549999999,35.8096466,효자동2가533,127.1041767,35.8083399
198,199,호암로R,효자동2가683-11,127.0953893,35.8071292,효자동2가 679-3,127.09927549999999,35.8096466,효자동2가533,127.1041767,35.8083399
199,200,홍산남로L,효자동2가1241-1,127.1022596,35.8153593,효자동2가 1155-7,127.1087459,35.81558820000001,효자동3가1542-1,127.1114148,35.8155533
200,201,홍산남로R,효자동2가1241-1,127.1022596,35.8153593,효자동2가 1155-7,127.1087459,35.81558820000001,효자동3가1542-1,127.1114148,35.8155533
201,202,홍산로L,효자동2가1325(전라북도교육청),127.10241270000002,35.804153,효자동3가 1800,127.10590970000001,35.8221926,서신동1004-1(가련교),127.1087939,35.83908579999999
202,203,홍산로R,효자동2가1325(전라북도교육청),127.10241270000002,35.804153,효자동3가 1800,127.10590970000001,35.8221926,서신동1004-1(가련교),127.1087939,35.83908579999999
203,204,효자로L,효자동3가1071,127.0864841,35.8205563,효자동3가 82-5,127.1104985,35.8192167,중화산동2가579-4,127.12246370000001,35.819322799999995
204,205,효자로R,효자동3가1071,127.0864841,35.8205563,효자동3가 82-5,127.1104985,35.8192167,중화산동2가579-4,127.12246370000001,35.819322799999995
205,206,삼천1L,원당교,127.1219395,35.7536364,평화2동 269-2,127.11530829999998,35.774965,독배천합류점(중인동110-8),127.1030726,35.7756314
206,207,삼천1R,원당교,127.1230723,35.7530224,석구동 429,127.11761740000001,35.767757200000005,삼천교,127.10988429999999,35.7853908
207,208,삼천2L,삼천교,127.10988429999999,35.7853908,효자4동 217-4,127.10920490000001,35.804843,팔복동3가 1302,127.1064415,35.8317778
208,209,삼천2R,삼천교,127.10988429999999,35.7853908,효자3동 364-17,127.1120152,35.8100908,전주천합류점,127.1055385,35.8411907
