,Unnamed: 0,index,학교명,주소,Latitude,Longitude
53,53,53.0,전주전일초,덕진구 태진로 98,35.8301251,127.1375173
54,54,54.0,전주초,완산구 대동로 33,35.8229725,127.1397914
55,55,55.0,전주조촌초,덕진구 쪽구름로 39,35.8696041,127.0759541
56,56,56.0,전주중산초,완산구 중산중앙로 9-10,35.8173856,127.1189325
57,57,57.0,전주중앙초,완산구 경기전길 99,35.8150255,127.1513169
58,58,58.0,전주중인초,완산구 중인1길 80,35.7711733,127.0976064
59,59,59.0,전주지곡초,완산구 평화로 85,35.7842284,127.1328344
60,60,60.0,전주진북초,덕진구 진북1길 11,35.8260289,127.1320346
61,61,61.0,전주초포초,덕진구 초포로 171,35.87714,127.1396902
62,62,62.0,전주팔복초,덕진구 팔과정로 181,35.8637005,127.094642
